2019	7644780	483				0	0	138					1	138	151					1	151		Yes			4
2019	7565945	483				0	0	139					1	139	149					1	149		Yes			4
2018	7528868	486				0	0	141					1	141	172					1	172					3
2019	7524795	486				0	0	138					1	138	168					1	168		Yes			3
2019	7547712	486				0	0	138					1	138	178					1	178		Yes			3
2017	7457216	487				0	0						0	No Values						0	No Values					3
2017	7490051	487				0	0	135					1	135	172					1	172					3
2019	7563659	487				0	0	141					1	141	160					1	160		Yes			3
2017	7493287	488				0	0	134					1	134	78					1	78		Yes			2
2018	6093308	488				0	0	138					1	138	160					1	160		Yes			2
2018	7492147	489	Yes			1	1	139	141				2	141	141					1	141				Resigned	1
2018	7047211	489				0	0	139					1	139						0	No Values					2
2019	7561620	489				0	0	141					1	141	184					1	184		Yes			2
2018	7516610	490				0	0	139					1	139	165					1	165					2
2019	7630084	490				0	0	139					1	139						0	No Values					2
2017	7080512	492				0	0	139					1	139	70	87				2	87		Yes			2
2018	7457206	492				0	0	141					1	141	167					1	167					2
2018	7526077	493				0	0	139					1	139	137	158				2	158					2
2018	7491065	493				0	0	139					1	139	171					1	171					2
2019	7519304	493	Yes			1	1	139					1	139						0	No Values					1
2017	7493679	495				0	0	136					1	136	83					1	83		Yes			2
2018	7493193	495				0	0	139					1	139	153					1	153					2
2017	7265469	496				0	0	136					1	136	95					1	95		Yes			3
2018	7284321	496				0	0	139					1	139	177					1	177		Yes			3
2018	7148968	496				0	0	135	141				2	141	168					1	168		Yes			3
2018	7456334	497				0	0	135					1	135	174					1	174					2
2018	7495198	497				0	0	136					1	136	142	136	161			3	161					2
2019	7125901	497	Yes			1	1	141	135				2	135	126	143				2	143		Yes			1
2017	6068782	499				0	0	134	135				2	135	137	145				2	145					2
2019	7458471	499				0	0	141					1	141	162					1	162		Yes			2
2018	7494997	501	Yes	Yes		2	1	139	141	141	142	141	5	141	144					1	144		Yes			1
2019	7571756	501				0	0	141					1	141	156					1	156		Yes			1
2017	7493320	502				0	0	141					1	141						0	No Values					1
2017	7493236	504				0	0	134					1	134	174					1	174					2
2018	7581504	504				0	0	135					1	135	163					1	163					2
2018	7519513	505				0	0	135					1	135	170					1	170					3
2019	7559087	505				0	0	138					1	138	138	170				2	170		Yes			3
2019	7524894	505				0	0	141					1	141	163					1	163		Yes			3
2017	7404881	506				0	0	135					1	135	210					1	210		Yes			1
2017	7457203	507				0	0	135					1	135	92					1	92		Yes			3
2019	7558321	507				0	0	142					1	142	184					1	184		Yes			3
2019	7554399	507				0	0	135	142	142			3	142	174					1	174		Yes			3
2019	7559525	508				0	0	138					1	138	145					1	145		Yes			1
2018	7451624	509				0	0	138					1	138	152					1	152					2
2019	7558992	509				0	0	138					1	138	159					1	159		Yes			2
2018	7457362	510				0	0	135					1	135	165					1	165		Yes			3
2019	7265265	510				0	0	139					1	139	180					1	180		Yes			3
2019	7543729	510				0	0	141					1	141	140					1	140					3
2017	7491074	512				0	0	141					1	141	145					1	145					2
2019	7544177	512				0	0	142					1	142						0	No Values					2
2017	7485930	514				0	0	136					1	136	189					1	189					4
2018	7524821	514				0	0	136					1	136	164					1	164					4
2018	7460857	514				0	0	138					1	138	182					1	182					4
2019	7457231	514				0	0	139					1	139	182					1	182		Yes			4
2017	7084396	516				0	0	134					1	134	91					1	91		Yes			2
2018	7458631	516				0	0	139					1	139	182					1	182		Yes			2
2019	7587742	516	Yes			1	1	138	141	141			3	141	127	149				2	149		Yes			1
2019	7524906	517				0	0	141					1	141						0	No Values					1
2018	7514828	518				0	0	138	141				2	141	183					1	183					1
2018	7564212	519				0	0	136					1	136	146					1	146					3
2018	7457724	519				0	0	135					1	135	185					1	185					3
2018	7492410	519				0	0	139	141				2	141	188					1	188					3
2018	7493337	520				0	0	139					1	139	184					1	184					1
2019	6143547	520	Yes			1	1	141					1	141						0	No Values					1
2017	7493138	521				0	0	141					1	141						0	No Values					4
2018	7524673	521				0	0	135					1	135	159					1	159					4
2018	7568874	521				0	0	135					1	135	136	146				2	146					4
2019	7522879	521				0	0	142					1	142	161					1	161		Yes			4
2017	7265379	523				0	0	135					1	135	105					1	105					2
2017	7455596	523				0	0	135					1	135	174					1	174					2
2018	7524826	524				0	0	139					1	139	157					1	157					2
2019	7490704	524				0	0	141					1	141	178					1	178		Yes			2
2018	7489626	526				0	0	141					1	141	148					1	148					3
2018	7524758	526				0	0	138					1	138	171					1	171					3
2018	7458803	526				0	0	138					1	138	178					1	178					3
2017	7493191	527				0	0	135					1	135	174					1	174		Yes			1
2017	7456091	528				0	0	134					1	134	193					1	193		Yes			3
2018	7524794	528				0	0	141					1	141	162					1	162		Yes			3
2018	7493308	528				0	0	139					1	139	177					1	177					3
2017	7266310	529				0	0	135					1	135	153					1	153					3
2017	7453544	529	Yes			1	1	142					1	142	182					1	182					1
2019	7457229	529				0	0						0	No Values						0	No Values					3
2019	7082117	529				0	0	141					1	141	166					1	166		Yes			3
2017	7408762	530				0	0	135	136	135			3	135	174					1	174					4
2017	7404884	530				0	0	135					1	135	158					1	158		Yes			4
2018	7491024	530				0	0	136					1	136	176					1	176					4
2019	7493160	530				0	0	141					1	141	178					1	178		Yes			4
2017	7493102	532				0	0	135					1	135	166					1	166					1
2017	7495149	533				0	0	136					1	136	81					1	81		Yes			3
2018	7523106	533				0	0	135					1	135	157					1	157		Yes			3
2019	7047201	533				0	0	135					1	135	176					1	176		Yes			3
2017	7265330	534				0	0	139					1	139	82					1	82		Yes			5
2017	7493164	534				0	0	135					1	135	86					1	86					5
2018	7524776	534				0	0	135					1	135	183					1	183					5
2019	7524788	534				0	0	138					1	138	192					1	192					5
2019	7522887	534				0	0	141					1	141	178					1	178		Yes			5
2017	7404986	535				0	0	134					1	134	96					1	96		Yes			6
2017	7492169	535				0	0	135					1	135	190					1	190		Yes			6
2017	7263751	535				0	0	139					1	139						0	No Values					6
2017	7457328	535				0	0	135					1	135	88					1	88		Yes			6
2017	7493275	535				0	0	141					1	141	166					1	166		Yes			6
2019	7493259	535				0	0	138	141				2	141	170					1	170		Yes			6
2019	7522844	536				0	0	141	142				2	142	150					1	150		Yes			1
2018	7456505	537				0	0	135					1	135	160					1	160					2
2019	7563253	537				0	0	139					1	139	165					1	165		Yes			2
2018	7524719	538				0	0	141					1	141	165					1	165		Yes			3
2018	7522863	538				0	0	135					1	135	162					1	162					3
2019	7522865	538				0	0	141					1	141	164					1	164		Yes			3
2018	7459637	539				0	0	139					1	139	168					1	168					3
2019	7559123	539				0	0	141					1	141	174					1	174		Yes			3
2019	7524907	539				0	0	141					1	141	164					1	164		Yes			3
2017	7493521	540				0	0	135					1	135	171					1	171					2
2018	7524883	540				0	0	142					1	142	157					1	157					2
2017	7486090	541				0	0	134	135				2	135	78					1	78					8
2017	7138055	541				0	0	134					1	134	97					1	97		Yes			8
2018	7457196	541				0	0	141					1	141						0	No Values					8
2019	7514779	541				0	0	138					1	138	180					1	180		Yes			8
2019	7558385	541				0	0	142					1	142	180					1	180					8
2019	7524840	541				0	0	141					1	141	180					1	180		Yes			8
2019	7558910	541				0	0	141					1	141						0	No Values					8
2019	7563644	541				0	0	141					1	141	188					1	188		Yes			8
2017	7493153	542				0	0	135					1	135	165					1	165					4
2018	7493314	542				0	0	139					1	139	176					1	176					4
2019	7493203	542				0	0	135					1	135	168					1	168		Yes			4
2019	7560563	542				0	0	141					1	141	172					1	172		Yes			4
2017	7457230	543				0	0	139					1	139	190					1	190					3
2019	7457164	543				0	0	139					1	139	149					1	149					3
2019	6163675	543				0	0						0	No Values						0	No Values					3
2018	7526862	544				0	0	138					1	138	174					1	174		Yes			1
2018	7456364	545				0	0	135					1	135	180					1	180					1
2019	7618166	545	Yes			1	1	141					1	141	141	162				2	162		Yes			1
2017	7493175	546				0	0	135					1	135	169					1	169					2
2019	7493468	546				0	0	142					1	142	170					1	170		Yes			2
2017	7265380	547				0	0	141					1	141						0	No Values					5
2018	7522881	547				0	0	139					1	139	153					1	153					5
2018	7082758	547				0	0	142					1	142	177					1	177		Yes			5
2019	7038857	547				0	0	138					1	138	172					1	172		Yes			5
2019	7524848	547				0	0	142					1	142	174					1	174					5
2018	7522843	548				0	0	135					1	135	170					1	170		Yes			2
2018	7404899	548				0	0	135					1	135	178					1	178					2
2019	7404813	549				0	0	139					1	139	156					1	156					1
2017	7494699	550				0	0	135					1	135	165					1	165		Yes			3
2018	7524729	550				0	0						0	No Values						0	No Values					3
2019	7458767	550				0	0	142					1	142						0	No Values					3
2017	7081838	551				0	0	135					1	135	74					1	74		Yes			3
2017	7455831	551				0	0	135					1	135	179					1	179		Yes			3
2017	7493332	551				0	0	135					1	135	157					1	157					3
2017	7491876	552				0	0						0	No Values						0	No Values					3
2017	7280939	552				0	0	134					1	134	187					1	187		Yes			3
2019	7495630	552				0	0	141					1	141	163					1	163		Yes			3
2017	7404645	553				0	0	134					1	134	87					1	87		Yes			2
2019	7560040	553				0	0	135					1	135	149					1	149					2
2017	7493210	555				0	0	135					1	135	157					1	157		Yes			5
2017	7486226	555				0	0	139					1	139	160					1	160					5
2017	7493274	555				0	0	135					1	135	161					1	161					5
2017	7427260	555				0	0	139					1	139	102					1	102		Yes			5
2019	7559091	555				0	0	141					1	141	166					1	166		Yes			5
2017	7404640	556				0	0	135					1	135	82					1	82		Yes			3
2017	7491069	556				0	0	135					1	135	86					1	86		Yes			3
2019	7558285	556				0	0	141					1	141	186					1	186		Yes			3
2017	7440003	557				0	0	135					1	135	89					1	89		Yes			2
2019	7405011	557				0	0	138					1	138	171					1	171		Yes			2
2017	7491064	558				0	0	136					1	136	193					1	193					2
2018	7525631	558				0	0	139					1	139	180					1	180					2
2017	7493301	560				0	0	134					1	134	176					1	176					3
2018	7524818	560				0	0	135					1	135	176					1	176					3
2019	7457220	560				0	0	139					1	139	160					1	160		Yes			3
2017	7488351	561				0	0	139					1	139	171					1	171		Yes			2
2018	7457195	561				0	0	135					1	135	182					1	182					2
2019	7497070	562				0	0	142					1	142	152					1	152		Yes			1
2017	7073621	563				0	0	135					1	135	164					1	164					2
2019	7558947	563				0	0	139					1	139	168					1	168		Yes			2
2017	7455803	564				0	0	141					1	141	176					1	176		Yes			5
2017	7491032	564				0	0	136					1	136	177					1	177					5
2018	7047053	564				0	0	136					1	136	200					1	200					5
2018	7493334	564				0	0	138					1	138	184					1	184					5
2019	7558223	564				0	0						0	No Values						0	No Values					5
2018	7493255	565				0	0	142					1	142						0	No Values					2
2018	7524837	565				0	0	136					1	136	178					1	178					2
2017	7457212	566				0	0	135					1	135	183					1	183		Yes			4
